isolate,lineage,hostA,host,Region,Department,Province,District,Latitude,Longitude,Altitude_(masl),collecting_year,host_group,host_group2,host_Tiina,time,haplotype,MLGnew,geo,field_number
PAN004-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Catac,-9.819611111,-77.41991667,3628,2016,cultivated_potato,cultivated_potato,,current,0,MLG54,Ancash-Recuay-Catac,69
PAN005-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Catac,-9.801888889,-77.42236111,3656,2016,cultivated_potato,cultivated_potato,,current,0,MLG221,Ancash-Recuay-Catac,71
PAN006-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Recuay,-9.722916667,-77.47994444,3864,2016,cultivated_potato,cultivated_potato,,current,0,MLG54,Ancash-Recuay-Recuay,83
PAN007-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Recuay,-9.722916667,-77.47994444,3864,2016,cultivated_potato,cultivated_potato,,current,0,MLG54,Ancash-Recuay-Recuay,83
PAN008-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Recuay,-9.722916667,-77.47994444,3864,2016,cultivated_potato,cultivated_potato,,current,0,MLG54,Ancash-Recuay-Recuay,83
PAN009-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Recuay,-9.72275,-77.47775,3801,2016,cultivated_potato,cultivated_potato,,current,0,MLG54,Ancash-Recuay-Recuay,97
PAN010-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Recuay,-9.72275,-77.47775,3801,2016,cultivated_potato,cultivated_potato,,current,0,MLG54,Ancash-Recuay-Recuay,97
PAN011-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Recuay,-9.72275,-77.47775,3801,2016,cultivated_potato,cultivated_potato,,current,0,MLG54,Ancash-Recuay-Recuay,97
PAN012-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Recuay,-9.72275,-77.47775,3801,2016,cultivated_potato,cultivated_potato,,current,0,MLG54,Ancash-Recuay-Recuay,97
PAN013-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Recuay,-9.727777778,-77.4585,3560,2016,cultivated_potato,cultivated_potato,,current,0,MLG54,Ancash-Recuay-Recuay,72
PAN014-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Recuay,-9.727777778,-77.4585,3560,2016,cultivated_potato,cultivated_potato,,current,0,MLG179,Ancash-Recuay-Recuay,72
PAN015-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Recuay,-9.727777778,-77.4585,3560,2016,cultivated_potato,cultivated_potato,,current,0,MLG179,Ancash-Recuay-Recuay,72
PAN016-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Aco,-9.645666667,-77.48708333,3283,2016,cultivated_potato,cultivated_potato,,current,0,MLG54,Ancash-Carhuaz-Aco,47
PAN017-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Aco,-9.645666667,-77.48708333,3283,2016,cultivated_potato,cultivated_potato,,current,0,MLG52,Ancash-Carhuaz-Aco,47
PAN018-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Aco,-9.645666667,-77.48708333,3283,2016,cultivated_potato,cultivated_potato,,current,0,MLG54,Ancash-Carhuaz-Aco,47
PAN019-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Catac,-9.801888889,-77.42236111,3656,2016,cultivated_potato,cultivated_potato,,current,0,MLG216,Ancash-Recuay-Catac,71
PAN020-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Catac,-9.801888889,-77.42236111,3656,2016,cultivated_potato,cultivated_potato,,current,0,MLG221,Ancash-Recuay-Catac,71
PAN021-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Catac,-9.801888889,-77.42236111,3656,2016,cultivated_potato,cultivated_potato,,current,0,MLG54,Ancash-Recuay-Catac,71
PAN022,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Shilla,-9.205833333,-77.60333333,3375,2000,cultivated_potato,cultivated_potato,,old,0,MLG177,Ancash-Carhuaz-Shilla,134
PAN023,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Shilla,-9.205833333,-77.60333333,3375,2000,cultivated_potato,cultivated_potato,,old,0,MLG177,Ancash-Carhuaz-Shilla,134
PAN023-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Marcará,-9.315361111,-77.59419444,2875,2016,cultivated_potato,cultivated_potato,,current,0,MLG221,Ancash-Carhuaz-Marcará,119
PAN025-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Marcará,-9.315361111,-77.59419444,2875,2016,cultivated_potato,cultivated_potato,,current,0,MLG236,Ancash-Carhuaz-Marcará,119
PAN026-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Marcará,-9.309777778,-77.58365556,3095,2016,cultivated_potato,cultivated_potato,,current,0,MLG221,Ancash-Carhuaz-Marcará,121
PAN027,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Catac,-9.84475,-77.40905556,3750,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG54,Ancash-Recuay-Catac,58
PAN027-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Marcará,-9.309777778,-77.58365556,3095,2016,cultivated_potato,cultivated_potato,,current,0,MLG221,Ancash-Carhuaz-Marcará,121
PAN028,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Recuay,-9.722916667,-77.47994444,3864,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG54,Ancash-Recuay-Recuay,83
PAN028-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Marcará,-9.309777778,-77.58365556,3095,2016,cultivated_potato,cultivated_potato,,current,0,MLG49,Ancash-Carhuaz-Marcará,121
PAN029,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Recuay,-9.727777778,-77.4585,3560,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG179,Ancash-Recuay-Recuay,72
PAN029-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Marcará,-9.309777778,-77.58365556,3095,2016,cultivated_potato,cultivated_potato,,current,0,MLG216,Ancash-Carhuaz-Marcará,121
PAN030,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Recuay,Recuay,-9.727777778,-77.4585,3560,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG179,Ancash-Recuay-Recuay,72
PAN030-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Marcará,-9.309777778,-77.58365556,3095,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG163,Ancash-Carhuaz-Marcará,121
PAN031,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Marcará,-9.315361111,-77.59419444,2875,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG221,Ancash-Carhuaz-Marcará,119
PAN031-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.296861111,-77.57327778,3321,2016,cultivated_potato,cultivated_potato,,current,0,MLG221,Ancash-Carhuaz-Carhuaz,122
PAN032,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.309777778,-77.58365556,3095,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG221,Ancash-Carhuaz-Carhuaz,121
PAN032-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.296861111,-77.57327778,3321,2016,cultivated_potato,cultivated_potato,,current,0,MLG221,Ancash-Carhuaz-Carhuaz,122
PAN033,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.296861111,-77.57327778,3321,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG221,Ancash-Carhuaz-Carhuaz,122
PAN033-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.296861111,-77.57327778,3321,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG151,Ancash-Carhuaz-Carhuaz,122
PAN034,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.295666667,-77.57161111,3327,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG221,Ancash-Carhuaz-Carhuaz,123
PAN034-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.295666667,-77.57161111,3327,2016,cultivated_potato,cultivated_potato,,current,0,MLG236,Ancash-Carhuaz-Carhuaz,123
PAN035,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.295666667,-77.57161111,3327,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG221,Ancash-Carhuaz-Carhuaz,123
PAN035-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.295666667,-77.57161111,3327,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG236,Ancash-Carhuaz-Carhuaz,123
PAN036,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.295666667,-77.57161111,3327,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG221,Ancash-Carhuaz-Carhuaz,123
PAN036-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.295666667,-77.57161111,3327,2016,cultivated_potato,cultivated_potato,,current,0,MLG221,Ancash-Carhuaz-Carhuaz,123
PAN037,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.201194444,-77.62833333,3406,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG179,Ancash-Carhuaz-Carhuaz,136
PAN037-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.201194444,-77.62833333,3406,2016,cultivated_potato,cultivated_potato,,current,0,MLG179,Ancash-Carhuaz-Carhuaz,136
PAN038,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.190444444,-77.62833333,3481,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG179,Ancash-Carhuaz-Carhuaz,137
PAN038-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.201194444,-77.62833333,3406,2016,cultivated_potato,cultivated_potato,,current,0,MLG179,Ancash-Carhuaz-Carhuaz,136
PAN039,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.190444444,-77.62833333,3481,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG179,Ancash-Carhuaz-Carhuaz,137
PAN039-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.201194444,-77.62833333,3406,2016,cultivated_potato,cultivated_potato,,current,0,MLG179,Ancash-Carhuaz-Carhuaz,136
PAN040,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Yungay,Yungay,-9.088194444,-77.73183333,3044,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG49,Ancash-Yungay-Yungay,140
PAN040-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.201194444,-77.62833333,3406,2016,cultivated_potato,cultivated_potato,,current,0,MLG179,Ancash-Carhuaz-Carhuaz,136
PAN041,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Yungay,Yungay,-9.088194444,-77.73183333,3044,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG179,Ancash-Yungay-Yungay,140
PAN041-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.190444444,-77.62833333,3481,2016,cultivated_potato,cultivated_potato,,current,0,MLG179,Ancash-Carhuaz-Carhuaz,137
PAN042,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Yungay,Yungay,-9.083222222,-77.73016667,3214,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG179,Ancash-Yungay-Yungay,141
PAN042-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.190444444,-77.62833333,3481,2016,cultivated_potato,cultivated_potato,,current,0,MLG119,Ancash-Carhuaz-Carhuaz,137
PAN043-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.190444444,-77.62833333,3481,2016,cultivated_potato,cultivated_potato,,current,0,MLG49,Ancash-Carhuaz-Carhuaz,137
PAN044,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.295666667,-77.57161111,3327,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG221,Ancash-Carhuaz-Carhuaz,123
PAN044-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.190444444,-77.62833333,3481,2016,cultivated_potato,cultivated_potato,,current,0,MLG179,Ancash-Carhuaz-Carhuaz,137
PAN045,PE3,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.190444444,-77.62833333,3481,2016,cultivated_potato,cultivated_potato,,current,Ia,MLG71,Ancash-Carhuaz-Carhuaz,137
PAN045-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,Center,Ancash,Carhuaz,Carhuaz,-9.190444444,-77.62833333,3481,2016,cultivated_potato,cultivated_potato,,current,0,MLG49,Ancash-Carhuaz-Carhuaz,137
