12,926,1,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D13,,,SSR8,,,SSR4,,,Pi04,,,Pi70,,,SSR6,,,Pi63,,,G11,,,SSR3,,,SSR11,,,SSR2,,,Pi4B,,
PAMA030-FTA,EC1,0,140,140,0,264,266,284,294,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,221
PAMA031,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,154,156,0,268,268,0,331,355,0,173,175,204,213,217
PAMA031-FTA,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PAMA032,EC1,0,136,140,0,264,266,284,294,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,221
PAMA033-FTA,PE3,0,142,142,0,266,266,0,288,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,329,341,355,0,175,175,0,205,217
PAMA034,PE3,0,146,146,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,162,0,268,268,0,341,355,0,175,175,0,205,217
PAMA034-FTA,PE3,0,144,144,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PAMA035,US1,0,140,140,0,266,266,288,290,294,0,166,170,0,189,192,242,244,258,270,273,279,152,156,198,0,266,266,0,341,355,0,173,177,0,213,217
PAMA035-FTA,EC1,0,136,142,0,264,266,284,292,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PAMA036,US1,0,140,140,0,266,266,288,290,294,0,166,170,0,189,192,242,244,258,270,273,279,152,156,198,0,266,266,0,341,355,0,173,177,0,213,217
PAMA036-FTA,PE3,0,152,154,0,266,266,0,290,292,0,166,170,0,192,195,0,244,244,0,279,279,0,154,162,0,268,268,0,341,355,0,175,175,0,205,217
PAMA037,US1,0,140,140,0,266,266,288,290,294,0,166,170,0,189,192,242,244,258,270,273,279,152,156,198,0,266,266,0,341,355,0,173,177,0,213,217
PAMA037-FTA,PE3,0,146,146,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,162,0,268,268,0,341,355,0,175,175,0,205,217
PAMA038,US1,0,140,140,0,266,266,288,290,294,0,166,170,0,189,192,242,244,258,270,273,279,152,156,198,0,266,266,0,341,355,0,173,177,0,213,217
PAMA038-FTA,PE3,0,146,146,0,266,266,0,290,294,0,166,166,0,192,195,0,244,244,0,279,279,0,156,162,0,268,268,0,341,355,0,175,175,0,205,217
PAMA039,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,152,156,0,268,268,0,331,355,0,173,173,204,213,217
PAMA039-FTA,PE3,0,144,144,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PAMA040-FTA,EC1,0,136,136,0,264,266,0,284,292,0,166,170,0,192,192,0,242,244,0,270,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PAMA041-FTA,EC1,0,136,136,0,266,266,284,292,296,0,166,170,0,192,192,0,242,244,0,270,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PAMA043-FTA,PE3,0,140,140,0,266,266,0,288,296,0,166,170,0,192,195,0,244,244,0,270,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PAMA044-FTA,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PAMA046-FTA,EC1,0,136,140,0,264,266,284,294,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,221
PAMA047-FTA,PE3,0,142,142,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
